timestamp,yearInSchool,major,major2,major3,division,campus,onCampus,frequencyIndividualStudy,frequencyGroupStudy,frequencyCourseReserves,frequencyBorrowingBooks,frequencyGetHelp,frequencyExhibit,frequencyPrinting,frequencyComputers,frequencyIT,frequencyWriting,needsQuietStudy,needsCollabStudy,needsStudyRooms,needsTextbooks,needsSummit,needsIll,needsPrinters,needsComputers,needsScanners,needsTechBorrowing,commentsResources,preferredStudyAreas,usefulPrimo,usefulDatabases,usefulGoogle,usefulGoogleScholar,researchToolsOpenEnded,resourcesLacking,preferredBookFormat,researchToolsComments,usefulResearchHelpDesk,usefulChat,usefulConsultation,usefulLibrarianClass,usefulLibGuide,usefulVideoTutorial,usefulLibraryWebsite,frequencyLibrarianClass,researchFrustrations,agreeWelcomeInLibrary,agreeComfortableAskingQuestions,whatDoYouValue
1/30/24 20:18,Second-year student,BCMB,NA,NA,Interdisciplinary,CAS,Yes,Once a semester,Once a semester,Never,Once a semester,Never,Never,Monthly,Never,Never,Never,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,NA,NA,Very useful,Very useful,Somewhat useful,Very useful,NA,NA,Printed books,NA,NA,NA,NA,NA,NA,NA,NA,No librarians have ever met with any of my classes,NA,Strongly agree,Strongly agree,NA
1/30/24 20:36,Senior,ENVS,NA,NA,Interdisciplinary,CAS,Yes,Monthly,Monthly,Monthly,Monthly,Once a semester,Never,Weekly,Never,Weekly,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/24 7:19,Senior,PHIL,NA,NA,Humanities,CAS,No,Weekly,Weekly,Weekly,Monthly,Once a semester,Never,Weekly,Monthly,Monthly,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,"I think the binary of options is frustrating. I think the study rooms are fine, and they are meeting my needs, but they certainly aren’t the perfect study room.","Study rooms if I need quiet, computer lab if I want noise",Very useful,Very useful,Somewhat useful,Somewhat useful,"SEP, IEP, PhilPapers","I think the special collections, especially in regards to this History of our school as a colonial project, should be much more accessible to Students.",It depends,NA,Have not used,Have not used,Have not used,Somewhat useful,Have not used,Have not used,Somewhat useful,Often enough,Most topics in Philosophy are saturated with bad work,Strongly agree,Strongly agree,Better lights in the study rooms
1/31/24 9:06,First-year student,ENVS,BCMB,ESS,Interdisciplinary,CAS,Yes,Weekly,Weekly,Never,Monthly,Once a semester,Once a semester,Monthly,Never,Monthly,Monthly,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,NA,"In the quiet section, or in the couches by the computers. For individual studying in peace and for collaborating, respectively.",Very useful,Very useful,Very useful,Very useful,NA,NA,It depends,NA,Have not used,Have not used,Have not used,Very useful,Very useful,Have not used,Have not used,Often enough,NA,Strongly agree,Strongly agree,NA
1/31/24 10:05,Second-year student,RHMS,NA,NA,Social Sciences,CAS,Yes,Daily,Weekly,Weekly,Never,Once a semester,Once a semester,Monthly,Once a semester,Once a semester,Monthly,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,na,on a couch because it’s comfy,I haven't used this,I haven't used this,Very useful,Very useful,textbooks,not sure,Printed books,n/a,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not often enough,none,Strongly agree,Strongly agree,wish it wasn’t so busy
1/31/24 10:27,Junior,BIO,Spanish,Physics,Natural Sciences,CAS,Yes,Weekly,Monthly,Weekly,Once a semester,Never,Once a semester,Monthly,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,I don't have a need for this,Meets my needs,Meets my needs,I'm not familiar with this,I don't have a need for this,NA,"High counter in computer lounge because it’s great for watching people walk by, group study tables in atrium because they are social, silent section for good view and locked in focus, reading room for great vibes.",I haven't used this,I haven't used this,Somewhat useful,Somewhat useful,NA,NA,It depends,NA,Have not used,Have not used,Have not used,Somewhat useful,Somewhat useful,Have not used,Somewhat useful,Often enough,"Finding good sources, my time management skills",Strongly agree,NA,Beanbag chairs on the third floor/ more comfy places to relax and or take a power nap or study break
1/31/24 12:17,Junior,PSY,RHMS,Chinese,Social Sciences,CAS,Yes,Weekly,Monthly,Weekly,Once a semester,Once a semester,Once a semester,Monthly,Monthly,Once a semester,Never,Does not meet my needs,Meets my needs,Meets my needs,Meets my needs,Does not meet my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,If I’m cold in the library there are only a few good spots to sit in that is warm. If I’m alone and there is space in the quiet section I sit there. I like sitting where it’s empty and quiet upstairs if there’s too many people I would study somewhere else,Not useful at all,Somewhat useful,Somewhat useful,Somewhat useful,NA,Maybe more access to databases or journal subscriptions especially for STEM,Printed books,I prefer a book copy I can keep. But often ebooks that have open access are the best when multiple need it and they book is high in demand.,Very useful,Have not used,Have not used,Somewhat useful,Very useful,I'm not familiar with this,I'm not familiar with this,Often enough,The resource I want is not accessible.,Strongly agree,Somewhat agree,I really like having students at the counter. I think it makes it easier to approach.
1/31/24 14:00,Second-year student,BIO,Health Studies,NA,Natural Sciences,CAS,Yes,Weekly,Monthly,Weekly,Monthly,Once a semester,Monthly,Weekly,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,The left area of the main floor. The chairs are more comfortable.,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,It depends,NA,Somewhat useful,Have not used,Have not used,Somewhat useful,Somewhat useful,Have not used,Somewhat useful,Often enough,NA,Strongly agree,Strongly agree,NA
2/1/24 8:08,Graduate student,SAA,NA,NA,Education,GRAD,No,Weekly,Never,Never,Once a semester,Never,Never,Never,Never,Never,Never,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,NA,NA,Very useful,Very useful,Very useful,Very useful,NA,NA,Ebooks,Ebooks are so useful and accessible for class projects,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,NA,Strongly agree,Strongly agree,I appreciate that it’s open 24 hours a day. I wish I had had that at my undergraduate institution
2/1/24 8:10,Graduate student,PMHC,NA,NA,Counseling,GRAD,No,Never,Once a semester,Once a semester,Never,Never,Never,Never,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Does not meet my needs,I'm not familiar with this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,"Textbooks for courses are often unavailable when I need them, I understand there are a limited number of copies but I have had several occasions where I could not utilize this resource.","Tables near large windows, specifically ones on the first or second floor with lots of green leaves from the trees. I always look for the quietest area to work.",Very useful,Very useful,Very useful,I haven't used this,None,"The graduate school sometimes cannot access journals that are only accessible to law students, but those journals often have topics that are relevant to our research. It would be beneficial to have open access to all students.",It depends,NA,Have not used,Very useful,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,NA,Strongly agree,Strongly agree,I love the beauty of the library. I don't have any critiques.
2/1/24 8:13,Graduate student,AT,NA,NA,Counseling,GRAD,No,Weekly,Once a semester,Never,Never,Never,Never,Never,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,Reservable study rooms are often used by people not reserving them which causes unnecessary conflict when someone does reserve them,Upstairs because it is quieter,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Articles and books from classes,N/A,Printed books,N/A,Have not used,Have not used,Have not used,Somewhat useful,Have not used,Have not used,Have not used,Not often enough,Apa format,Somewhat agree,Disagree,I value the long hours. I wish there were more comfortable seats upstairs.
2/1/24 8:15,Graduate student,PMHC,NA,NA,Counseling,GRAD,No,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I don't have a need for this,I'm not familiar with this,I'm not familiar with this,NA,NA,I haven't used this,Somewhat useful,NA,Somewhat useful,NA,NA,Printed books,NA,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,NA,Strongly agree,Strongly agree,NA
2/1/24 8:20,Graduate student,SPSY,NA,NA,Counseling,GRAD,No,Monthly,Once a semester,Once a semester,Never,Never,Never,Monthly,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,I don't have a need for this,NA,In the quiet areas with the long tables. The dimmed lights and having plugs in the table helps.,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,Ebooks,NA,Very useful,Somewhat useful,Have not used,Very useful,Very useful,Very useful,Very useful,Often enough,NA,Strongly agree,Strongly agree,NA
2/1/24 8:27,Graduate student,AT,NA,NA,Counseling,GRAD,No,Once a semester,Monthly,Never,Once a semester,Once a semester,Once a semester,Never,Once a semester,Never,Never,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,I'm not familiar with this,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,NA,"the reservable study rooms are my favorite because it's easy to reserve them, they have whiteboards (or at least some of them do) with markers that we can borrow, and are quiet. It's a great place to have room to spread out when I need it or to do group projects.",Very useful,Very useful,Somewhat useful,Somewhat useful,NA,I don't think so,It depends,NA,Have not used,Have not used,Have not used,Very useful,Have not used,Have not used,Very useful,Not often enough,"Sometimes there is a book that would be very useful and it's only available physically. Often there are popular (physical) books that are difficult to get my hands on, it could be helpful to have more copies of the popular psychology books. I have also occasionally had difficulty logging into certain websites for articles that I find on the library website, but that's likely user error.",Strongly agree,Strongly agree,"I really value the interactive fun things the library offers. For example, there's a chess game that you can play and then switch a card to say whatever color's turn it is so someone else can move a piece. And, there are often small art exhibits or other interactive things. It makes it fun and exciting to go to the library. Also, I appreciate the welcoming library staff and that the library is quiet and creates a great environment to study. There's nothing that I can think of that would make the library more welcoming."
2/1/24 8:34,Graduate student,AT,NA,NA,Counseling,GRAD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't have a need for this,I don't have a need for this,I don't have a need for this,Does not meet my needs,Does not meet my needs,Does not meet my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,"There should be more than one reserve book to be able to read from reserves, or check out.  Or, a digital copy should be made available to check out.   Some chosen course textbooks are expensive and unavailable unavailable.  Libraries are meant to help ease the financial burden by helping students access these.","I haven't been there.  I don't have time to go, and parking is a deterrent.  I do love the delivery service to graduate campus.",Very useful,Somewhat useful,Very useful,Somewhat useful,NA,"There are a couple of scholarly sites, like JSTOR that Watzek doesn't have access to.  Unfortunately I have found a lot of articles on this site, which is frustrating.",It depends,"As stated above, better access to e-materials if print books aren't accessible would be appreciated.",Have not used,Have not used,Have not used,Very useful,I'm not familiar with this,I'm not familiar with this,Somewhat useful,Not often enough,As stated above.  Some articles aren't covered by our library access.  Some books either.,NA,NA,"I haven't had the opportunity to go, so I couldn't answer this."
2/1/24 8:38,Graduate student,PMHCA,NA,NA,Counseling,GRAD,No,Monthly,Never,Never,Weekly,Monthly,Monthly,Weekly,Never,Once a semester,Never,Meets my needs,I don't have a need for this,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I'm not familiar with this,I'm not familiar with this,NA,"I like to study near the record albums because of access to circulation desk, bathroom, and exit. And it is generally quiet. Then I'm always looking for a quiet space with a couch.",Somewhat useful,I haven't used this,Somewhat useful,Somewhat useful,other students,don 't know,Printed books,NA,Somewhat useful,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,No librarians have ever met with any of my classes,trying to figure out how to find specific articles around narrow topics. google is often better than using primo,Strongly agree,Strongly agree,i love being in quiet spaces around books so I can just browse shelves. want more couches.
2/1/24 8:43,Graduate student,SAA,NA,NA,Education,GRAD,No,Never,Never,Once a semester,Never,Never,Never,Never,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,NA,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,Ebooks,NA,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,NA,Strongly agree,Strongly agree,NA
2/1/24 8:44,Graduate student,AT,NA,NA,Counseling,GRAD,No,Never,Never,Once a semester,Never,Never,Never,Never,Never,Never,Never,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,NA,NA,Very useful,Very useful,Not useful at all,Very useful,NA,NA,It depends,NA,Have not used,Very useful,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,I am frustrated when access to articles is complicated/unavailable.,Strongly agree,Strongly agree,NA
2/1/24 8:50,Graduate student,EDLL,NA,NA,Education,GRAD,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,N/A,N/A,I haven't used this,I haven't used this,Very useful,I haven't used this,N/A,I wish we could have more downloadable pages out of e-books before we get cut off.,Ebooks,I almost exclusively use the library for ebook access,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,N/A,Strongly agree,Strongly agree,NA
2/1/24 8:52,Graduate student,PMHC,NA,NA,Counseling,GRAD,No,Never,Never,Never,Never,Never,Never,Once a semester,Never,Never,Never,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,Meets my needs,Meets my needs,I don't have a need for this,NA,I'm not familiar with this,NA,NA,Very useful,Very useful,Somewhat useful,Somewhat useful,Zotero,NA,It depends,NA,I'm not familiar with this,Very useful,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,Very useful,No librarians have ever met with any of my classes,NA,Disagree,Disagree,"For me, as a grad student, it doesn't feel like I belong in the library because it's on the undergrad campus and there's not really space to park so it's very hard to get there."
2/1/24 9:03,Graduate student,EDLL,NA,NA,Education,GRAD,No,Monthly,Monthly,Weekly,Weekly,Never,Never,Never,Never,Once a semester,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I don't have a need for this,NA,NA,Very useful,Very useful,Very useful,Somewhat useful,Library data bases,NA,Printed books,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Often enough,NA,Strongly agree,Somewhat agree,NA
2/1/24 9:05,Graduate student,SPSY,NA,NA,Counseling,GRAD,No,Weekly,Weekly,Monthly,Once a semester,Monthly,Once a semester,Once a semester,Never,Once a semester,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,My classmates and I utilize the group study rooms on a regular basis. They have been so valuable to us when we need a quiet room to focus!,Study rooms or any seat by a large window.,Very useful,Somewhat useful,Somewhat useful,Very useful,"N/A, mostly use Primo and Google Scholar",Would always love to see more for school psychology.,Printed books,Primo has been a great resource for research in my graduate coursework.,Somewhat useful,Have not used,Have not used,Very useful,Very useful,Have not used,Somewhat useful,Often enough,Getting search results that are not relevant to what I'm looking for.,Strongly agree,Strongly agree,"I love how welcoming staff are and how comfortable the space is with plenty of seating options. To make it a more welcoming place, a few more cozy reading nooks could be nice!"
2/1/24 9:31,Graduate student,SPSY,NA,NA,Counseling,GRAD,No,Weekly,Monthly,Monthly,Weekly,Once a semester,Once a semester,Weekly,Weekly,Monthly,Once a semester,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I wish we could check out laptops for full semesters.,I like the study room for privacy & collaborative meetings. And I like the quiet study area because it has a beautiful view.,Very useful,Very useful,Very useful,Somewhat useful,Library databases,"No, it is quite through now (:",It depends,Audio books may be a helpful audition,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,Very useful,Very useful,Very useful,Very useful,Not often enough,Skimming and sifting through which articles to use.,Strongly agree,Strongly agree,"I value the peacefulness, and the architecture. The only thing I can think about fixing is more soundproofing in the study rooms."
2/1/24 9:40,Graduate student,EDLL,NA,NA,Education,GRAD,No,Monthly,NA,Once a semester,Monthly,Once a semester,Never,Never,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,Meets my needs,NA,"Quiet spaces, meeting rooms. Aesthetics, functionality",Very useful,Very useful,Somewhat useful,Very useful,N/A,NA,No preference,Really appreciate access to legal journals....,Very useful,Somewhat useful,Very useful,Somewhat useful,I'm not familiar with this,I'm not familiar with this,Somewhat useful,Often enough,Interesting question -- mostly my own developing skills.,Strongly agree,Strongly agree,Add a cafe.
2/1/24 9:52,Graduate student,PMHC,NA,NA,Counseling,GRAD,No,Monthly,Never,Monthly,Monthly,Never,Once a semester,Monthly,Never,Once a semester,Never,Does not meet my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,I find the library is often not quiet enough.,"By the fire place, it is just so cozy.",Very useful,Very useful,Somewhat useful,Very useful,I rely on the library database/library catalog,APA Psychnet Tests!,It depends,NA,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,Have not used,No librarians have ever met with any of my classes,Not having full online access to peer reviews psychological studies.,Strongly agree,Strongly agree,I value the welcoming cozy space and services to access information.
2/1/24 10:20,Graduate student,SPSY,NA,NA,Counseling,GRAD,No,Weekly,Never,Monthly,Never,Once a semester,Never,Weekly,Never,Once a semester,Never,Does not meet my needs,I'm not familiar with this,I'm not familiar with this,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,NA,NA,Somewhat useful,Somewhat useful,I'm not familiar with this,I'm not familiar with this,NA,NA,Printed books,NA,Have not used,Have not used,Have not used,Have not used,I'm not familiar with this,Have not used,Have not used,Often enough,The search engine is not specific enough,Somewhat agree,Somewhat agree,"Quieter study spaces, more accessible to grad students,"
2/1/24 10:31,Graduate student,SPSY,NA,NA,Counseling,GRAD,No,Never,Once a semester,Never,Never,Never,Once a semester,Never,Never,Once a semester,Never,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,I'm not familiar with this,Meets my needs,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,I'm not familiar with this,NA,Private room to be able to meet with others and get more privacy and silence,Very useful,Very useful,Very useful,Very useful,None,I love your resources!,Ebooks,"Ebooks are less heavy, less forgettable, easier to search through the text, and better for easy notetaking.",Very useful,Very useful,Very useful,Very useful,Very useful,I'm not familiar with this,Very useful,Often enough,the database needs to refresh if I am looking at different tabs of articles for too long,Strongly agree,Strongly agree,I love it!!
